頁面 ID,舊網址,頁面名稱,頁面類型,原始內容來源,圖片數,新網址,搬遷狀態
PAGE-0017,https://www.dsdiamond.com.tw/collections/經典男戒,經典男戒 鑽之韻,系列頁,C:/Users/U01/Desktop/DS/dsdiamond_backup/site/www.dsdiamond.com.tw/collections/經典男戒.html | C:/Users/U01/Desktop/DS/dsdiamond_backup/migration/content/collections__經典男戒.md,11,/legacy-content/collections/經典男戒/,原始內容已備份，Astro archive 頁已建立
PAGE-0018,https://www.dsdiamond.com.tw/collections/綠鑽,綠鑽 鑽之韻,系列頁,C:/Users/U01/Desktop/DS/dsdiamond_backup/site/www.dsdiamond.com.tw/collections/綠鑽.html | C:/Users/U01/Desktop/DS/dsdiamond_backup/migration/content/collections__綠鑽.md,11,/legacy-content/collections/綠鑽/,原始內容已備份，Astro archive 頁已建立
PAGE-0019,https://www.dsdiamond.com.tw/collections/藍鑽,藍鑽 鑽之韻,系列頁,C:/Users/U01/Desktop/DS/dsdiamond_backup/site/www.dsdiamond.com.tw/collections/藍鑽.html | C:/Users/U01/Desktop/DS/dsdiamond_backup/migration/content/collections__藍鑽.md,11,/legacy-content/collections/藍鑽/,原始內容已備份，Astro archive 頁已建立
PAGE-0020,https://www.dsdiamond.com.tw/collections/轉運女戒,轉運女戒 鑽之韻,系列頁,C:/Users/U01/Desktop/DS/dsdiamond_backup/site/www.dsdiamond.com.tw/collections/轉運女戒.html | C:/Users/U01/Desktop/DS/dsdiamond_backup/migration/content/collections__轉運女戒.md,11,/legacy-content/collections/轉運女戒/,原始內容已備份，Astro archive 頁已建立
PAGE-0021,https://www.dsdiamond.com.tw/collections/轉運男戒,轉運男戒 鑽之韻,系列頁,C:/Users/U01/Desktop/DS/dsdiamond_backup/site/www.dsdiamond.com.tw/collections/轉運男戒.html | C:/Users/U01/Desktop/DS/dsdiamond_backup/migration/content/collections__轉運男戒.md,11,/legacy-content/collections/轉運男戒/,原始內容已備份，Astro archive 頁已建立
PAGE-0022,https://www.dsdiamond.com.tw/collections/黃鑽,黃鑽 鑽之韻,系列頁,C:/Users/U01/Desktop/DS/dsdiamond_backup/site/www.dsdiamond.com.tw/collections/黃鑽.html | C:/Users/U01/Desktop/DS/dsdiamond_backup/migration/content/collections__黃鑽.md,11,/legacy-content/collections/黃鑽/,原始內容已備份，Astro archive 頁已建立
PAGE-0023,https://www.dsdiamond.com.tw/contact,客服 鑽之韻,聯絡頁,C:/Users/U01/Desktop/DS/dsdiamond_backup/site/www.dsdiamond.com.tw/contact.html | C:/Users/U01/Desktop/DS/dsdiamond_backup/migration/content/contact.md,6,/legacy-content/contact/,原始內容已備份，Astro archive 頁已建立
PAGE-0024,https://www.dsdiamond.com.tw,鑽之韻 Diamond Symphony,首頁,C:/Users/U01/Desktop/DS/dsdiamond_backup/site/www.dsdiamond.com.tw/index.html | C:/Users/U01/Desktop/DS/dsdiamond_backup/migration/content/home.md,27,/legacy-content/home/,原始內容已備份，Astro archive 頁已建立
PAGE-0025,https://www.dsdiamond.com.tw/pages/about-us,關於我們 鑽之韻,品牌頁,C:/Users/U01/Desktop/DS/dsdiamond_backup/site/www.dsdiamond.com.tw/pages/about-us.html | C:/Users/U01/Desktop/DS/dsdiamond_backup/migration/content/pages__about-us.md,7,/legacy-content/pages/about-us/,原始內容已備份，Astro archive 頁已建立
PAGE-0026,https://www.dsdiamond.com.tw/pages/privacy,隱私政策 鑽之韻,法律頁,C:/Users/U01/Desktop/DS/dsdiamond_backup/site/www.dsdiamond.com.tw/pages/privacy.html | C:/Users/U01/Desktop/DS/dsdiamond_backup/migration/content/pages__privacy.md,6,/legacy-content/pages/privacy/,原始內容已備份，Astro archive 頁已建立
PAGE-0027,https://www.dsdiamond.com.tw/pages/qna,常見問題 鑽之韻,服務說明,C:/Users/U01/Desktop/DS/dsdiamond_backup/site/www.dsdiamond.com.tw/pages/qna.html | C:/Users/U01/Desktop/DS/dsdiamond_backup/migration/content/pages__qna.md,6,/legacy-content/pages/qna/,原始內容已備份，Astro archive 頁已建立
PAGE-0028,https://www.dsdiamond.com.tw/pages/terms,服務條款 鑽之韻,法律頁,C:/Users/U01/Desktop/DS/dsdiamond_backup/site/www.dsdiamond.com.tw/pages/terms.html | C:/Users/U01/Desktop/DS/dsdiamond_backup/migration/content/pages__terms.md,6,/legacy-content/pages/terms/,原始內容已備份，Astro archive 頁已建立
PAGE-0029,https://www.dsdiamond.com.tw/pages/尊榮定製,尊榮定製 鑽之韻,服務說明,C:/Users/U01/Desktop/DS/dsdiamond_backup/site/www.dsdiamond.com.tw/pages/尊榮定製.html | C:/Users/U01/Desktop/DS/dsdiamond_backup/migration/content/pages__尊榮定製.md,11,/legacy-content/pages/尊榮定製/,原始內容已備份，Astro archive 頁已建立
PAGE-0030,https://www.dsdiamond.com.tw/search,查詢 鑽之韻,CYBERBIZ 功能頁,C:/Users/U01/Desktop/DS/dsdiamond_backup/site/www.dsdiamond.com.tw/search.html | C:/Users/U01/Desktop/DS/dsdiamond_backup/migration/content/search.md,11,/legacy-content/search/,功能頁不重建，內容已備份並導向
PAGE-0031,https://www.dsdiamond.com.tw/zh-TW/account/coupons,帳戶登入 鑽之韻,CYBERBIZ 功能頁,C:/Users/U01/Desktop/DS/dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/account/coupons.html | C:/Users/U01/Desktop/DS/dsdiamond_backup/migration/content/zh-TW__account__coupons.md,6,/legacy-content/zh-tw/account/coupons/,功能頁不重建，內容已備份並導向
PAGE-0032,https://www.dsdiamond.com.tw/zh-TW/account/forgot_password,鑽之韻,CYBERBIZ 功能頁,C:/Users/U01/Desktop/DS/dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/account/forgot_password.html | C:/Users/U01/Desktop/DS/dsdiamond_backup/migration/content/zh-TW__account__forgot_password.md,6,/legacy-content/zh-tw/account/forgot-password/,功能頁不重建，內容已備份並導向
PAGE-0033,https://www.dsdiamond.com.tw/zh-TW/account/index,帳戶登入 鑽之韻,CYBERBIZ 功能頁,C:/Users/U01/Desktop/DS/dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/account/index.html | C:/Users/U01/Desktop/DS/dsdiamond_backup/migration/content/zh-TW__account__index.md,6,/legacy-content/zh-tw/account/index/,功能頁不重建，內容已備份並導向
PAGE-0034,https://www.dsdiamond.com.tw/zh-TW/account/login,帳戶登入 鑽之韻,CYBERBIZ 功能頁,C:/Users/U01/Desktop/DS/dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/account/login.html | C:/Users/U01/Desktop/DS/dsdiamond_backup/migration/content/zh-TW__account__login.md,6,/legacy-content/zh-tw/account/login/,功能頁不重建，內容已備份並導向
PAGE-0035,https://www.dsdiamond.com.tw/zh-TW/account/logout,鑽之韻 Diamond Symphony,CYBERBIZ 功能頁,C:/Users/U01/Desktop/DS/dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/account/logout.html | C:/Users/U01/Desktop/DS/dsdiamond_backup/migration/content/zh-TW__account__logout.md,27,/legacy-content/zh-tw/account/logout/,功能頁不重建，內容已備份並導向
PAGE-0036,https://www.dsdiamond.com.tw/zh-TW/account/orders,帳戶登入 鑽之韻,CYBERBIZ 功能頁,C:/Users/U01/Desktop/DS/dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/account/orders.html | C:/Users/U01/Desktop/DS/dsdiamond_backup/migration/content/zh-TW__account__orders.md,6,/legacy-content/zh-tw/account/orders/,功能頁不重建，內容已備份並導向
PAGE-0037,https://www.dsdiamond.com.tw/zh-TW/account/signup,註冊 鑽之韻,CYBERBIZ 功能頁,C:/Users/U01/Desktop/DS/dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/account/signup.html | C:/Users/U01/Desktop/DS/dsdiamond_backup/migration/content/zh-TW__account__signup.md,6,/legacy-content/zh-tw/account/signup/,功能頁不重建，內容已備份並導向
PAGE-0038,https://www.dsdiamond.com.tw/zh-TW/account/tracking_items,帳戶登入 鑽之韻,CYBERBIZ 功能頁,C:/Users/U01/Desktop/DS/dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/account/tracking_items.html | C:/Users/U01/Desktop/DS/dsdiamond_backup/migration/content/zh-TW__account__tracking_items.md,6,/legacy-content/zh-tw/account/tracking-items/,功能頁不重建，內容已備份並導向
PAGE-0039,https://www.dsdiamond.com.tw/zh-TW/cart,鑽之韻 Diamond Symphony,CYBERBIZ 功能頁,C:/Users/U01/Desktop/DS/dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/cart.html | C:/Users/U01/Desktop/DS/dsdiamond_backup/migration/content/zh-TW__cart.md,27,/legacy-content/zh-tw/cart/,功能頁不重建，內容已備份並導向
PAGE-0040,https://www.dsdiamond.com.tw/zh-TW/collections/diamond,精選裸鑽 鑽之韻,系列頁,C:/Users/U01/Desktop/DS/dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/collections/diamond.html | C:/Users/U01/Desktop/DS/dsdiamond_backup/migration/content/zh-TW__collections__diamond.md,11,/legacy-content/zh-tw/collections/diamond/,原始內容已備份，Astro archive 頁已建立
PAGE-0041,https://www.dsdiamond.com.tw/zh-TW/collections/necklace,項鍊 鑽之韻,系列頁,C:/Users/U01/Desktop/DS/dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/collections/necklace.html | C:/Users/U01/Desktop/DS/dsdiamond_backup/migration/content/zh-TW__collections__necklace.md,11,/legacy-content/zh-tw/collections/necklace/,原始內容已備份，Astro archive 頁已建立
PAGE-0042,https://www.dsdiamond.com.tw/zh-TW/collections/pair-ring,結婚對戒 鑽之韻,系列頁,C:/Users/U01/Desktop/DS/dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/collections/pair-ring.html | C:/Users/U01/Desktop/DS/dsdiamond_backup/migration/content/zh-TW__collections__pair-ring.md,11,/legacy-content/zh-tw/collections/pair-ring/,原始內容已備份，Astro archive 頁已建立
PAGE-0043,https://www.dsdiamond.com.tw/zh-TW/collections/ring-female,女士鑽戒 鑽之韻,系列頁,C:/Users/U01/Desktop/DS/dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/collections/ring-female.html | C:/Users/U01/Desktop/DS/dsdiamond_backup/migration/content/zh-TW__collections__ring-female.md,11,/legacy-content/zh-tw/collections/ring-female/,原始內容已備份，Astro archive 頁已建立
PAGE-0044,https://www.dsdiamond.com.tw/zh-TW/collections/ring-man,男士鑽戒 鑽之韻,系列頁,C:/Users/U01/Desktop/DS/dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/collections/ring-man.html | C:/Users/U01/Desktop/DS/dsdiamond_backup/migration/content/zh-TW__collections__ring-man.md,11,/legacy-content/zh-tw/collections/ring-man/,原始內容已備份，Astro archive 頁已建立
PAGE-0045,https://www.dsdiamond.com.tw/zh-TW/collections/求婚,求婚戒指 鑽之韻,系列頁,C:/Users/U01/Desktop/DS/dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/collections/求婚.html | C:/Users/U01/Desktop/DS/dsdiamond_backup/migration/content/zh-TW__collections__求婚.md,11,/legacy-content/zh-tw/collections/求婚/,原始內容已備份，Astro archive 頁已建立
PAGE-0046,https://www.dsdiamond.com.tw/zh-TW/contact,客服 鑽之韻,聯絡頁,C:/Users/U01/Desktop/DS/dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/contact.html | C:/Users/U01/Desktop/DS/dsdiamond_backup/migration/content/zh-TW__contact.md,6,/legacy-content/zh-tw/contact/,原始內容已備份，Astro archive 頁已建立
PAGE-0047,https://www.dsdiamond.com.tw/zh-TW,鑽之韻 Diamond Symphony,首頁,C:/Users/U01/Desktop/DS/dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW.html | C:/Users/U01/Desktop/DS/dsdiamond_backup/migration/content/zh-TW.md,27,/legacy-content/zh-tw/,原始內容已備份，Astro archive 頁已建立
